,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
593,Kia Seltos,SUPERIOR DESIGN,"Kia Seltos has an awesome design, honestly speaking It has the most amazing looks ever.",5,Nc.hari,28-Jun-19,38 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/superior-design-68865.htm
594,Kia Seltos,Anyday Seltos,It overcomes all the negative points from other cars. It Beats creta with Masculine and bold looks. It beats Jeep compass with the price and automatic options. It can also beat Tata Harrier in both prices and features. It will beat MG hector with an automatic option in diesel and price. It comes with BS6 engines.,5,Raghuram,2-Jul-19,78 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/anyday-seltos-69729.htm
595,Kia Seltos,Great interior and exterior,It is an excellent  car with great interior and exterior and comes with latest technology. It is spacious and very comfortable.,5,Anonymous,6-Jul-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/great-interior-and-exterior-70623.htm
596,Kia Seltos,A Good Car,This is a nice car. The looks are really good. ,5,Gourav Deora,2-Jul-19,21 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-good-car-69824.htm
597,Kia Seltos,A Great Car,The looks are good. This is a really nice car. ,5,Shashank Olivkar,1-Jul-19,33 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-great-car-69473.htm
598,Kia Seltos,Premium Car,The price of the car is equivalent to Creta but Kia with all premium segment features make this car excellent.,5,Anonymous,1-Jul-19,19 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/premium-car-69426.htm
599,Kia Seltos,Design and Interior,Kia Seltos will be the number one selling car. It comes with awesome design and interior at a low price.,5,Anonymous,30-Jun-19,24 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/design-and-interior-69149.htm
600,Kia Seltos,Marvellous & Rocking SUV,"Based on my onscreen review, one of the best SUV to hit the market with its maiden entry into the Indian market. As the images and video reveals it has everything that Creta lacks as far as exterior design is concerned especially the rear view. A big but well designed SUV Seltos touches deep to my heart with marvelous front, beating the MG Hector, heart touching rear beating the Hyundai Creta and the boot space, ground clearance, length, breadth, height, and power is almost same as that of XUV500, MG Hector and Tata Harrier. But it is the pricing that matters in the Indian market. Price it properly to avoid the undesired results as it happened in case of Jeep Compass. Trust me the Indians will compromise with safety features but not with design and pricing. Believe me, this SUV is going to rock the market with the sporty design but pricing that worries me. Don't forget what is happening to Jeep Compass as it is priced beyond the buyer's expectations. In the end best of luck to Kia, a sister company of Hyundai to compete not only with its brother Hyundai but also with all the SUVs currently available in the Indian market.",4,Sukhjinder Singh,26-Jun-19,60 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/marvellous-rocking-suv-68334.htm
601,Kia Seltos,Most popular car in this segment.,Kia Seltos is the most popular car in this segment. To be launching. I like this car and its features.,5,Vaseem Khan,28-Jun-19,22 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/most-popular-car-in-this-segment-68848.htm
602,Kia Seltos,Magical SUV,Kia Seltos is the best and complete SUV car in India this is an excellent car.,5,Barot Om,26-Jun-19,31 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/magical-suv-68472.htm
603,Kia Seltos,A Great Car,Kia Seltos is one of the best cars and it is the most awaited SUV.  The looks are dashing with a strong body. It will be available within an affordable price range. ,5,Rajendra,26-Jun-19,21 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-great-car-68404.htm
604,Kia Seltos,Seltos for speed ...,"One of the best segment with BS 6 Emissions. With HUD display, Ventilated seats, Air purifier & Build Quality...",5,Aravinth Learning,28-Jun-19,22 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/seltos-for-speed-68810.htm
605,Kia Seltos,A Good Car,Kia Seltos is a good car. The looks are amazing. The features are nice. ,4,Kanna Reddy,27-Jun-19,23 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-good-car-68625.htm
606,Kia Seltos,Awesome features,Kia Seltos is an extraordinary car which will attract the SUV lover segment in India which is growing with a little pace and this car will definitely cater this SUV segment as the features and specifications this car is extremely awesome.,5,Manikesh,27-Jun-19,11 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/awesome-features-68542.htm
607,Kia Seltos,Technology beyond imagine,"This car is a complete package with great features, design, and technology.",5,Nitin,26-Jun-19,17 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/technology-beyond-imagine-68500.htm
608,Kia Seltos,KIA best in india,Good design and futures the time of entry automobile is super. We expect more models in this segment.,5,D. Gurumoorthy,26-Jun-19,20 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/kia-best-in-india-68389.htm
609,Kia Seltos,A Nice Car,The looks are really stylish. It gives a comfortable driving experience. The engine is very smooth. ,2,Anoop,25-Jun-19,36 Views,0 Likes,3 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-nice-car-68153.htm
610,Kia Seltos,THE MOST INTELLIGENT AND AWAITING SUV,"Kia Seltos is one of the best and the most AWAITING SUV is set to launch at the end of August. The car looks dashing with its bold look and strong body, THANKS TO KIA. Seltos will definitely challenge the best selling cars of India such as Creta and Harrier. Seltos will be available at a reasonable price between 11-17 lakhs. People must wait for the MOST INTELLIGENT AND MOST AWAITING SUV, SELTOS, TO BRING HAPPINESS IN THEIR LIFE.",5,Yash Saraf,24-Jun-19,3689 Views,13 Likes,6 Dislikes,https://www.cardekho.com/user-review/kia-seltos/the-most-intelligent-and-awaiting-suv-67892.htm
611,Kia Seltos,Affodable Luxory on Move,"Expected configuration interiors. Handsome exterior with front grill, day time running LEDs, Head Lamps, Edge smooth curvy bonnet. Perfect ground clearance. Fuel economy.",5,Sajeevan A K,24-Jun-19,378 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/affodable-luxory-on-move-67999.htm
612,Kia Seltos,A Mindblowing Car,This is a nice looking compact SUV car with an affordable price range. I am really excited about this car.,5,Arya Abhipsa,25-Jun-19,23 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-mindblowing-car-68143.htm
613,Kia Seltos,Nice look and thanks for Kia....,It is very nice and comfortable and looks is very good.. and maximum future and lots of people are like.,5,Aditya Kumar Rath,24-Jun-19,23 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/nice-look-and-thanks-for-kia-68042.htm
614,Kia Seltos,Best Car In Indian Market: Kia Seltos,"Superb car for the Indian market. Will give tough competition to Hyundai Creta, Maruti Suzuki Breeza and S-Cross.",5,Anonymous,25-Jun-19,11 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-in-indian-market-kia-seltos-68131.htm
615,Kia Seltos,Design and Interior,The design of the car is awesome as Kia is entering the first time in the market so have to wait to see the results but the car specifications are good.,4,Anonymous,25-Jun-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/design-and-interior-68125.htm
616,Kia Seltos,Best car for SUV lovers,"Overall features, styling and the range available in engine options are commendable. Hats off to Kia motors for making such an amazing car for the Indian SUV lovers.",5,Anonymous,25-Jun-19,13 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-for-suv-lovers-68093.htm
617,Kia Seltos,The most intelligent and awaiting SUV,"Kia Seltos, one of the best and the most awaiting SUV is set to launch at the end of August. The car looks dashing with its bold look and strong body, Thanks to Kia. Seltos will definitely challenge the best selling cars of India such as Creta and Harrier. It will be available at a reasonable price between 11-17 lakhs. It is the most intelligent car with great technology and features.",5,Anonymous,25-Jun-19,35 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/the-most-intelligent-and-awaiting-suv-68074.htm
618,Kia Seltos,New Stunner,"Kia Seltos is a stunner, new age car, extremely desirable. The car will take the market as it has everything. Just can't wait to get behind the steering wheel.",5,Aminul Islam,24-Jun-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/new-stunner-67952.htm
619,Kia Seltos,Design and interior,Kia Seltos design is soo good but Kia is the first time in the market so we can't believe properly. But cars specification are too good.,4,Pradeep Sharma,24-Jun-19,20 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/design-and-interior-67874.htm
